18:41:07.269 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.4.Final
18:41:07.308 [restartedMain] INFO  c.t.WisdomGreenDailyApplication - [logStarting,55] - Starting WisdomGreenDailyApplication using Java 1.8.0_91 on LAPTOP-JVDT227F with PID 16460 (E:\wisdomgd-backend\wisdomgd-web\target\classes started by 13151 in E:\wisdomgd-backend)
18:41:07.310 [restartedMain] INFO  c.t.WisdomGreenDailyApplication - [logStartupProfileInfo,640] - The following 1 profile is active: "dev"
18:41:07.402 [restartedMain] INFO  o.s.b.d.r.ChangeableUrls - [logTo,255] - The Class-Path manifest attribute in D:\MAVEN\apache-maven-3.6.1\rep\xalan\xalan\2.7.2\xalan-2.7.2.jar referenced one or more files that do not exist: file:/D:/MAVEN/apache-maven-3.6.1/rep/xalan/xalan/2.7.2/xercesImpl.jar,file:/D:/MAVEN/apache-maven-3.6.1/rep/xalan/xalan/2.7.2/xml-apis.jar,file:/D:/MAVEN/apache-maven-3.6.1/rep/xalan/xalan/2.7.2/serializer.jar
18:41:07.404 [restartedMain] INFO  o.s.b.d.r.ChangeableUrls - [logTo,255] - The Class-Path manifest attribute in D:\MAVEN\apache-maven-3.6.1\rep\xalan\serializer\2.7.2\serializer-2.7.2.jar referenced one or more files that do not exist: file:/D:/MAVEN/apache-maven-3.6.1/rep/xalan/serializer/2.7.2/xml-apis.jar
18:41:07.405 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - [logTo,255] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
18:41:07.406 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - [logTo,255] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
18:41:10.563 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [multipleStoresDetected,262] - Multiple Spring Data modules found, entering strict repository configuration mode
18:41:10.567 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [registerRepositoriesIn,132] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
18:41:10.624 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [registerRepositoriesIn,201] - Finished Spring Data repository scanning in 37 ms. Found 0 Redis repository interfaces.
18:41:12.624 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer - [initialize,108] - Tomcat initialized with port(s): 8086 (http)
18:41:12.643 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8086"]
18:41:12.645 [restartedMain] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
18:41:12.645 [restartedMain] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.65]
18:41:12.780 [restartedMain] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
18:41:12.781 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - [prepareWebApplicationContext,292] - Root WebApplicationContext: initialization completed in 5354 ms
18:41:19.245 [restartedMain] INFO  o.s.s.w.DefaultSecurityFilterChain - [<init>,55] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2442b494, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@445d2599, org.springframework.security.web.context.SecurityContextPersistenceFilter@16971d70, org.springframework.security.web.header.HeaderWriterFilter@63af0348, org.springframework.security.web.authentication.logout.LogoutFilter@249589ae, com.think.framework.security.filter.JwtAuthenticationTokenFilter@13bb7a4d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6e6dc742, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5e5ef8d3, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@408b9250, org.springframework.security.web.session.SessionManagementFilter@57e9c051, org.springframework.security.web.access.ExceptionTranslationFilter@18476ab9, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@38670c7e]
18:41:19.452 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - [startServer,59] - LiveReload server is running on port 35729
18:41:19.522 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8086"]
18:41:19.553 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer - [start,220] - Tomcat started on port(s): 8086 (http) with context path ''
18:41:19.583 [restartedMain] INFO  c.t.WisdomGreenDailyApplication - [logStarted,61] - Started WisdomGreenDailyApplication in 12.904 seconds (JVM running for 15.59)
18:41:52.089 [SpringApplicationShutdownHook] INFO  sys-user - [shutdownAsyncManager,28] - ====关闭后台任务任务线程池====
18:41:52.093 [SpringApplicationShutdownHook] INFO  c.a.d.p.DruidDataSource - [close,2032] - {dataSource-0} closing ...
